time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl
999424,176,21.098000000000003,5661,198.04,122,-0.06596492775133811,0.9921919908374548,0.2,0.8118975013494492,0.0012559619526655297,0.8914538621902466,1210,0.0003,0.02652587890625,0.002449478
1007616,177,20.509,5661,193.23,123,-0.06499135912017664,1.0403528229449877,0.2,0.7907187044620514,0.0013876589823667018,0.4212091565132141,1220,0.0003,0.03095703125,0.0034780598
1015808,179,19.607,5661,185.92,124,-0.060219044437690175,0.8827677866443991,0.2,0.8366556167602539,0.0002447206659780932,0.2567019462585449,1230,0.0003,0.02969970703125,0.005987283
1024000,180,20.055999999999997,5662,189.51,125,-0.06131853434781078,0.686302901734598,0.2,0.8857696801424026,0.0007997290242201416,0.43769246339797974,1240,0.0003,0.03033447265625,0.0040426045
1032192,182,20.592,5662,193.61,126,-0.05785318615817232,0.953031886939425,0.2,0.8304748833179474,2.7109358052257447e-05,0.5120657682418823,1250,0.0003,0.032275390625,0.0058705606
1040384,183,19.842,5662,187.37,127,-0.05636690090104821,1.09541905161459,0.2,0.776154562830925,0.00015541964194198954,0.6646340489387512,1260,0.0003,0.027734375,0.003876531
1048576,185,22.416999999999998,5662,208.08,128,-0.060278309236309724,1.137870803871192,0.2,0.7834541648626328,0.0011408739188482286,0.3946821093559265,1270,0.0003,0.03297119140625,0.004972159
1056768,186,22.673999999999996,5662,210.02,129,-0.06276991531849489,1.2594922526506707,0.2,0.6985322833061218,0.00010765350498331827,0.8560354113578796,1280,0.0003,0.02861328125,0.0047461377
1064960,188,23.643,5662,218.0,130,-0.06492350889748195,0.9914978114888072,0.2,0.7228215038776398,0.0009694817945273826,0.5116204023361206,1290,0.0003,0.0337890625,0.008647835
1073152,189,25.453000000000003,5662,232.68,131,-0.060878497762678306,1.0402083198772742,0.2,0.7684246897697449,0.0012840417224651902,0.690687894821167,1300,0.0003,0.0324462890625,0.0037800109
1081344,190,25.286000000000005,5662,231.19,132,-0.06202646949641348,1.2091397050768138,0.2,0.7349024415016174,0.0004994098735551233,0.3579847812652588,1310,0.0003,0.03232421875,0.0053503728
1089536,192,25.752000000000002,5662,235.13,133,-0.05978791025190731,1.2265490365913139,0.2,0.7511200457811356,4.641410323529272e-05,0.3177821934223175,1320,0.0003,0.0306640625,0.003869229
1097728,193,26.829000000000004,5662,243.74,134,-0.057224831101484595,1.226550231827423,0.2,0.7061135470867157,0.0009013110398882418,0.5287615656852722,1330,0.0003,0.027783203125,0.004449815
1105920,195,28.604000000000006,5662,258.34,135,-0.06028238626458915,1.2249821594450623,0.2,0.7227584719657898,0.000338439710867533,0.2829618752002716,1340,0.0003,0.02840576171875,0.0022059528
1114112,196,30.937,5662,276.99,136,-0.058005375483480746,0.962115568795707,0.2,0.7701355218887329,0.001424678845614835,0.6191211342811584,1350,0.0003,0.029150390625,0.0054884413
1122304,198,30.238999999999997,5662,271.36,137,-0.07468954902724363,1.3716308299684896,0.2,0.6738317012786865,0.0003273010525845166,0.3444672226905823,1360,0.0003,0.03709716796875,0.009373215
1130496,199,32.534000000000006,5662,289.9,138,-0.08062114015192492,1.6166023524245248,0.2,0.6086516976356506,0.0008641227318548772,1.0732985734939575,1370,0.0003,0.03424072265625,0.0029832963
1138688,201,32.27400000000001,5661,287.84,139,-0.07954052679851883,1.3828218007227406,0.2,0.6649163365364075,0.0008587373653426766,0.5547287464141846,1380,0.0003,0.03115234375,0.005171719
1146880,202,33.751,5657,300.0,140,-0.07728607483295491,1.6925507543841376,0.2,0.563555508852005,0.002481186244312994,0.3860093355178833,1390,0.0003,0.03546142578125,0.002999432
1155072,204,34.684999999999995,5655,307.63,141,-0.08386122026568046,1.6772400290472433,0.2,0.5343923270702362,0.0020729382498757332,0.6478707194328308,1400,0.0003,0.0332275390625,0.0032612714
1163264,205,35.28999999999999,5650,312.42,142,-0.0945975998591166,1.5706856361823156,0.2,0.5844652652740479,0.0010805455953232014,0.9854083061218262,1410,0.0003,0.0439208984375,0.005172392
1171456,207,33.927,5647,301.22,143,-0.08644810548721579,1.7339066835353152,0.2,0.49895280599594116,5.030192369304132e-06,0.5396079421043396,1420,0.0003,0.0341796875,0.003070245
1179648,208,36.092,5646,318.64,144,-0.08675361326022539,1.8156798417679965,0.2,0.48297756910324097,0.0024348575351723412,0.590808093547821,1430,0.0003,0.04132080078125,0.0050189383
1187840,210,34.065999999999995,5645,302.25,145,-0.08065534679335543,1.659465962962713,0.2,0.4870869517326355,0.0010264751467730093,1.0051085948944092,1440,0.0003,0.03720703125,0.0064132526
1196032,211,37.412,5642,329.14,146,-0.08839428523206153,1.8291501608444378,0.2,0.5208050310611725,0.0002870109465220594,0.6291936039924622,1450,0.0003,0.03819580078125,0.0060397685
1204224,213,39.501999999999995,5642,346.17,147,-0.07981816406536382,1.2705323607311585,0.2,0.5480120778083801,0.0017690440880869574,0.5004417300224304,1460,0.0003,0.0299072265625,0.0033125482
1212416,214,40.169000000000004,5642,351.31,148,-0.0802945343661122,1.8340660662855952,0.2,0.3770098090171814,0.0008372178985155187,0.33649128675460815,1470,0.0003,0.03665771484375,0.0053546373
1220608,216,42.501999999999995,5642,369.96,149,-0.08797918917844072,1.518995741638355,0.2,0.5064302980899811,0.0001925790837049135,0.3143922686576843,1480,0.0003,0.03486328125,0.003595985
1228800,217,40.016,5642,349.78,150,-0.08766166230925591,1.5112851790850983,0.2,0.467903733253479,0.0017279121409046639,0.46000540256500244,1490,0.0003,0.0346923828125,0.0034586687
1236992,219,37.132,5640,326.52,151,-0.08703893414640333,1.6294033052283339,0.2,0.5083138942718506,-0.00016124253988891724,0.6455159187316895,1500,0.0003,0.0433349609375,0.00748079
1245184,220,39.083,5636,342.16,152,-0.09187318900367245,2.1277346884133292,0.2,0.4734371304512024,0.0023494069117077744,0.5011100769042969,1510,0.0003,0.0385009765625,0.004246087
1253376,222,40.171,5635,350.97,153,-0.08082323231064947,1.677323349751532,0.2,0.4792461395263672,0.00023963219773577294,0.8729989528656006,1520,0.0003,0.03707275390625,0.0043296386
1261568,223,40.66499999999999,5635,355.1,154,-0.08012770220084349,1.2497090728022158,0.2,0.5745241045951843,0.001332226200884179,0.3498193025588989,1530,0.0003,0.0323486328125,0.0032937524
1269760,225,41.09000000000001,5632,358.54,155,-0.0834186685649911,1.5989137802505866,0.2,0.5507730841636658,0.001246414045454003,0.43168607354164124,1540,0.0003,0.03179931640625,0.0036817282
1277952,226,47.74099999999999,5630,412.18,156,-0.08922436497523449,1.6241892438847572,0.2,0.5267347991466522,0.0010172471367695835,1.7736694812774658,1550,0.0003,0.03284912109375,0.008083134
1286144,228,48.63999999999999,5627,419.73,157,-0.07545632015026058,1.2139821849996224,0.2,0.5090768039226532,0.0013559254966367007,0.9571439027786255,1560,0.0003,0.03028564453125,0.00507221
1294336,230,49.573,5625,427.35,158,-0.09079996770597062,1.5269598892889917,0.2,0.4574069380760193,0.0025460698325332487,0.3098098933696747,1570,0.0003,0.03590087890625,0.0033972724
1302528,231,52.675,5622,452.43,159,-0.08322109477303456,1.314708695630543,0.2,0.5421246290206909,0.0014645167360868073,0.6884702444076538,1580,0.0003,0.035693359375,0.005138668
1310720,233,58.04600000000001,5618,495.61,160,-0.08010107183799846,0.8569946207629983,0.2,0.5101908445358276,0.00220774785066169,0.9159631729125977,1590,0.0003,0.039404296875,0.006215223
1318912,234,59.68599999999999,5618,508.68,161,-0.09603923087124713,1.5543754020007328,0.2,0.4189683794975281,0.0009459778169002675,1.831321120262146,1600,0.0003,0.040673828125,0.0039105276
1327104,236,58.119,5618,496.16,162,-0.08776508212031331,1.6530939538031817,0.2,0.416206419467926,0.0004972209645529802,0.5786432027816772,1610,0.0003,0.03341064453125,0.0045625
1335296,237,58.583999999999996,5616,500.0,163,-0.07907295772602083,1.3128365183598363,0.2,0.430619478225708,0.00023788279449945548,0.2679201662540436,1620,0.0003,0.03475341796875,0.004683934
1343488,239,60.903999999999996,5614,518.43,164,-0.07518023047159658,1.2595633023884147,0.2,0.49823957681655884,0.001265505857554672,0.46857696771621704,1630,0.0003,0.034130859375,0.008625496
1351680,240,55.945,5614,478.47,165,-0.08151117627276108,1.5899517362937332,0.2,0.22816604375839233,0.0017851989359769505,0.7987154722213745,1640,0.0003,0.04034423828125,0.0075952383
1359872,242,52.376999999999995,5614,449.9,166,-0.0817304934898857,1.3470521547249519,0.2,0.6224279999732971,0.0021938343438705488,0.48699167370796204,1650,0.0003,0.033740234375,0.007141472
1368064,243,52.84799999999999,5613,453.71,167,-0.0757685541830142,1.855643763160333,0.2,0.4917961359024048,0.0002675342429029115,1.2335997819900513,1660,0.0003,0.03602294921875,0.0065897726
