time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss
88,268288,14.628000000000002,145.58,3033,131,0.2,0.8783963695168495,0.17904219031333923,0.0061696796,0.047705078125,1300,0.0003,-0.002052520920551615,-0.14273961149156095,0.5019609943032265
89,270336,14.84,147.43,3032,132,0.2,0.7531968951225281,0.28283295035362244,0.0104139745,0.042919921875,1310,0.0003,0.0003338625458127353,-0.12343578782165424,0.6722121443133802
89,272384,15.184000000000001,150.15,3032,133,0.2,0.8925137147307396,0.17113575339317322,0.005870995,0.043798828125,1320,0.0003,0.0004348538292106241,-0.14101237102877348,0.3658355105668306
90,274432,15.368999999999998,151.73,3032,134,0.2,0.8676689714193344,0.2962055504322052,0.006947032,0.05830078125,1330,0.0003,-0.0010515214395127258,-0.15898483109194786,0.5457535344175994
91,276480,15.151000000000002,149.82,3032,135,0.2,0.8791288137435913,0.1827399730682373,0.0036903527,0.04873046875,1340,0.0003,0.0022066501216613686,-0.17524652646388858,0.519593796087429
91,278528,14.889000000000001,147.74,3033,136,0.2,0.8588431626558304,0.17608341574668884,0.00605373,0.055224609375,1350,0.0003,0.0007139137189369649,-0.18539269343018533,0.5882694162428379
92,280576,15.034,149.01,3033,137,0.2,0.9188212677836418,0.15903587639331818,0.0044110524,0.0462890625,1360,0.0003,0.000754327896720497,-0.1559899708488956,0.3460584988119081
93,282624,14.871999999999998,147.75,3034,138,0.2,0.8722910284996033,0.17718049883842468,0.0024772352,0.04423828125,1370,0.0003,-0.0004349426271801349,-0.14973379217553884,0.6199773199856281
93,284672,14.892999999999999,147.87,3033,139,0.2,0.8275371789932251,0.26761120557785034,0.0050245,0.04375,1380,0.0003,0.0007507333670218941,-0.14190387257840484,0.5116655814927071
94,286720,14.966,148.51,3033,140,0.2,0.8281598687171936,0.19352084398269653,0.008784205,0.05546875,1390,0.0003,-0.00012269677536096423,-0.14202266559004784,0.7478144366294146
