time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
194,109.62599999999999,4757,912.05,925696,113,0.0006329984,0.3373481035232544,1120,0.6072831468947697,0.8542176485061646,0.008706446,-0.08528961593983694,0.0024852609297795424,0.04273681640625,0.2
196,109.35299999999998,4757,909.77,933888,114,0.0006297216,0.11636418104171753,1130,1.4322144741541707,0.2861568331718445,0.0076156277,-0.09740813547396102,0.00046785745726083403,0.0416015625,0.2
198,96.04700000000001,4755,802.18,942080,115,0.0006264448,0.39729416370391846,1140,1.1327561837388203,0.6218606233596802,0.007732626,-0.09861519152327673,0.0025072673790418774,0.04298095703125,0.2
199,92.48900000000002,4754,773.44,950272,116,0.000623168,0.32531243562698364,1150,1.8084583922172897,1.4505722522735596,0.011490272,-0.12220497776870616,-0.001480514875584049,0.04298095703125,0.2
201,94.29899999999999,4754,788.12,958464,117,0.0006198912,0.3100482225418091,1160,1.8587137661408633,0.8115330338478088,0.0059677884,-0.106236118869856,0.0020285481791688653,0.04375,0.2
203,81.19599999999998,4753,682.11,966656,118,0.0006166144000000001,-0.00392603874206543,1170,0.8178714114241302,0.3095901310443878,0.010436863,-0.08162183095264482,0.0037220200241790736,0.04552001953125,0.2
205,78.458,4752,659.86,974848,119,0.0006133375999999999,0.26155632734298706,1180,1.7634996489039623,0.9500197768211365,0.019647075,-0.11452706747804768,-0.0003426912498980528,0.04368896484375,0.2
206,81.04299999999999,4752,680.76,983040,120,0.0006100608000000001,0.22753524780273438,1190,1.5037797337281518,0.5764381885528564,0.018488243,-0.11242181746929418,-0.0013507480187854525,0.05406494140625,0.2
208,78.116,4751,657.34,991232,121,0.000606784,0.20777863264083862,1200,0.9181799480051268,0.06070813164114952,0.008252682,-0.09051552765595261,0.0016511385560079362,0.04404296875,0.2
210,77.36399999999999,4750,651.35,999424,122,0.0006035072,0.4259135127067566,1210,1.2326611341501121,0.3988688588142395,0.0064972183,-0.09681799343088641,7.364992870861897e-05,0.03736572265625,0.2
212,80.762,4748,678.85,1007616,123,0.0006002304,0.322814404964447,1220,1.37566588181071,0.24669526517391205,0.008318715,-0.09844715203216765,0.003466611489193383,0.04290771484375,0.2
213,84.523,4748,709.35,1015808,124,0.0005969536,0.27580469846725464,1230,1.0252651277114637,0.7406142354011536,0.010432945,-0.09724121872568503,0.00018191267490692554,0.04635009765625,0.2
215,80.77000000000001,4748,679.29,1024000,125,0.0005936768000000001,0.40450555086135864,1240,1.2672849658876657,0.39591899514198303,0.016325995,-0.103513254201971,0.0013558721710978717,0.04298095703125,0.2
217,75.764,4747,639.13,1032192,126,0.0005904,0.1883576512336731,1250,1.9712625652202405,0.8177232146263123,0.024950434,-0.13725271518342197,-0.001971204232177115,0.06873779296875,0.2
219,50.716,4748,437.34,1040384,127,0.0005871232,0.2682051658630371,1260,2.2254417727468536,1.0350934267044067,0.009247655,-0.14778270486858675,-8.711938917258522e-05,0.05604248046875,0.2
220,48.382000000000005,4748,418.5,1048576,128,0.0005838464,0.32534515857696533,1270,2.6163214767351746,1.3165287971496582,0.004959868,-0.17418971674051137,-0.0007671585988646256,0.03743896484375,0.2
222,46.547999999999995,4748,403.76,1056768,129,0.0005805696000000001,0.11849647760391235,1280,1.293895980063826,0.9202142953872681,0.00797053,-0.1107124593880144,0.0013359027545448044,0.0419921875,0.2
224,47.64900000000001,4748,412.61,1064960,130,0.0005772927999999999,0.528766930103302,1290,1.2985670868540182,1.1765162944793701,0.011568055,-0.12073680398170836,9.537581399854389e-05,0.043115234375,0.2
226,49.79599999999999,4748,430.12,1073152,131,0.0005740160000000001,0.3025038242340088,1300,1.438113291573245,0.5423220992088318,0.0064255996,-0.1000589627539739,0.0010502995844944962,0.04169921875,0.2
227,55.26800000000001,4748,474.31,1081344,132,0.0005707392,0.5211204886436462,1310,0.7781327564211097,0.2219245731830597,0.0056910403,-0.10071020348113961,0.0019238906992541161,0.0405517578125,0.2
229,61.705,4748,526.08,1089536,133,0.0005674623999999999,0.44819462299346924,1320,1.193401929270476,1.0579829216003418,0.008664086,-0.10080028842203319,0.001453066683097859,0.04075927734375,0.2
231,68.938,4748,584.37,1097728,134,0.0005641856000000001,0.5417965650558472,1330,1.2919760059332475,0.715578556060791,0.013757357,-0.11311688552377745,-0.0010071370958030456,0.05635986328125,0.2
232,74.76100000000001,4748,631.26,1105920,135,0.0005609088,0.6461615860462189,1340,0.8644114941649604,0.11983124911785126,0.0059968233,-0.09798721941333496,0.003223496592272568,0.0427490234375,0.2
