rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates
19.333000000000002,4753,819200,100,183.63,172,-0.12542202203476335,0.7590150737203658,0.03041884,0.7278313338756561,0.2,0.08763427734375,0.003,0.28432121872901917,0.005785722719519981,990
20.611000000000004,4753,827392,101,193.89,174,-0.13515065117389896,0.971247649914585,0.01578654,0.6432701945304871,0.2,0.08079833984375,0.003,0.21261066198349,0.0031933100530295634,1000
15.469000000000001,4752,835584,102,151.83,175,-0.15959143278305418,1.0025582951959222,0.027266454,0.6598751842975616,0.2,0.0964111328125,0.003,0.5349010229110718,0.0053964974393238664,1010
14.023,4750,843776,103,140.25,177,-0.1415221828588983,0.8893489330541342,0.040326063,0.7190987467765808,0.2,0.10186767578125,0.003,0.2499251365661621,0.004315497929201229,1020
18.771,4748,851968,104,178.82,179,-0.1894300800107885,1.0242059767944738,0.029314304,0.6059939861297607,0.2,0.0950927734375,0.003,0.3061494529247284,-0.0010173006861805335,1030
23.468000000000004,4748,860160,105,216.79,181,-0.18072277338360437,1.078738438221626,0.04019983,0.35363060235977173,0.2,0.118701171875,0.003,0.5631600022315979,0.009282381453340349,1040
28.702,4748,868352,106,258.96,182,-0.1559410352492705,1.105084544455167,0.071616426,0.4250136613845825,0.2,0.1041259765625,0.003,0.6384721398353577,0.006913035047909943,1050
29.497000000000003,4748,876544,107,265.56,184,-0.155414006911451,1.283950678166002,0.023354504,0.14804673194885254,0.2,0.10126953125,0.003,0.3350667357444763,0.006591872035278357,1060
28.345,4747,884736,108,256.02,186,-0.19347126070642845,1.280256396974437,0.038755726,0.4378516674041748,0.2,0.116552734375,0.003,0.23583410680294037,0.0027792069253337105,1070
26.105,4745,892928,109,238.03,188,-0.1839035360579146,1.713929210160859,0.066336036,0.14837998151779175,0.2,0.15147705078125,0.003,0.24135103821754456,0.03020439427164092,1080
24.004,4745,901120,110,220.98,189,-0.16522600277676247,1.5066429767757654,0.041196458,0.4558769464492798,0.2,0.11834716796875,0.003,0.4860544800758362,0.011086979527317454,1090
25.636,4745,909312,111,234.33,191,-0.17839247853844425,1.557108388398774,0.028733607,0.42931294441223145,0.2,0.105615234375,0.003,0.7881925702095032,0.0032449750350679097,1100
29.419000000000004,4745,917504,112,265.05,193,-0.16372000931878575,1.3650967752560974,0.033839684,0.376417875289917,0.2,0.10941162109375,0.003,0.49248701333999634,0.004659675089351367,1110
31.384,4745,925696,113,280.65,195,-0.1397002795973094,1.2788111783214844,0.041588478,0.40768522024154663,0.2,0.10966796875,0.003,0.6386219263076782,0.00809318917345081,1120
29.269999999999996,4745,933888,114,263.56,196,-0.1551115856389515,1.5293211942655034,0.085321076,0.3094397187232971,0.2,0.14281005859375,0.003,1.5490049123764038,0.016998788975070057,1130
26.345,4745,942080,115,239.53,198,-0.17056032758555376,1.791233161254786,0.020984553,0.45591479539871216,0.2,0.09581298828125,0.003,1.0129809379577637,0.005786252514280932,1140
21.602999999999998,4745,950272,116,201.29,200,-0.1351212216366548,1.6860581967281179,0.047062315,0.4668811559677124,0.2,0.09251708984375,0.003,0.7017768025398254,0.006646770606494101,1150
